,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
98,CHEMBL267930,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,395.47800000000007,3.217100000000001,1.0,4.0,18.522878745280337
99,CHEMBL1255588,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,361.52900000000017,4.844800000000005,1.0,2.0,17.30102999566398
100,CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,176.21899999999997,1.3747,3.0,2.0,12.522878745280337
101,CHEMBL59,NCCc1ccc(O)c(O)c1,153.18099999999998,0.5989999999999998,3.0,3.0,14.096910013008056
102,CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,169.17999999999998,0.08989999999999998,4.0,4.0,13.096910013008056
103,CHEMBL11425,O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2C1,384.52000000000015,3.316900000000002,1.0,4.0,7.169989064063882
104,CHEMBL11265,COc1cccc2c1CC1(CCCN1CCCCN1C(=O)CC3(CCCC3)CC1=O)CO2,440.58400000000034,3.9543000000000035,0.0,5.0,5.95999928552668
105,CHEMBL417608,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)CC1COc2cccc(OC)c2C1,456.62700000000024,4.447900000000004,0.0,5.0,5.749999855918706
106,CHEMBL416523,COc1cccc2c1CC(CNCCCCN1C(=O)CC3(CCCC3)CC1=O)CO2,414.54600000000033,3.3255000000000017,1.0,5.0,7.5300307905000405
107,CHEMBL11262,CCCN(CCC)CC1COc2cccc(OC)c2C1,277.408,3.3683000000000023,0.0,3.0,5.589999287456538
108,CHEMBL11592,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,442.6000000000002,4.200300000000004,0.0,5.0,8.0
109,CHEMBL116463,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,517.6200000000002,6.181880000000007,1.0,4.0,6.258848401148215
